#ANALYSIS
AN:ANALYSIS_TYPE                 	MS
#CHROMATOGRAPHY
CH:CHROMATOGRAPHY_SUMMARY        	Targeted IC
CH:CHROMATOGRAPHY_TYPE           	Targeted IC
CH:COLUMN_NAME                   	Dionex IonPac AS11-HC-4um 2 mm i.d. x 250 mm
CH:INSTRUMENT_NAME               	Thermo Dionex ICS-5000+
#COLLECTION
CO:COLLECTION_PROTOCOL_FILENAME  	mouse_tissue_procedure.pdf
CO:COLLECTION_PROTOCOL_ID        	mouse_tissue_collection
CO:COLLECTION_SUMMARY            	Mouse is sacrificed and tissues are harvested.
CO:SAMPLE_TYPE                   	mouse
#METABOLOMICS WORKBENCH ANALYSIS_ID:AN000000 STUDY_ID:ST000000
CREATED_ON          	2023-05-04
VERSION             	1
#MS
MS:INSTRUMENT_NAME               	Orbitrap Fusion
MS:INSTRUMENT_TYPE               	IC-FTMS
MS:ION_MODE                      	NEGATIVE
MS:MS_COMMENTS                   	ICMS Analytical Experiment with detection of compounds by comparison to
MS:MS_COMMENTS                   	standards. 
Thermo RAW files are loaded into TraceFinder and peaks are manually
MS:MS_COMMENTS                   	curated. The area under the chromatograms is then exported to an Excel file. The
MS:MS_COMMENTS                   	area is then corrected for natural abundance. The natural abundance corrected
MS:MS_COMMENTS                   	area is then used to calculate the concentration of each compound for each
MS:MS_COMMENTS                   	sample. This calculation is done using standards. The first sample ran on the
MS:MS_COMMENTS                   	ICMS is a standard that has known concentrations of certain compounds. Then a
MS:MS_COMMENTS                   	number of samples are ran (typically 3-4) followed by another standard. The
MS:MS_COMMENTS                   	equation to calculate the concentration is "intensity in sample"/("intensity in
MS:MS_COMMENTS                   	first standard" + (("intensity in second standard" - "intensity in first
MS:MS_COMMENTS                   	standard")/# of samples) * "known concentration in standard", where the
MS:MS_COMMENTS                   	"intensity" is the aforementioned natural abundance corrected area, and the
MS:MS_COMMENTS                   	unlabeled intensity from the standard is used for all isotopologues of the
MS:MS_COMMENTS                   	compound. The reconstitution volume is simply the volume that the polar part of
MS:MS_COMMENTS                   	the sample was reconstituted to before going into the ICMS. The injection volume
MS:MS_COMMENTS                   	is how much of the reconstitution volume was injected into the ICMS. The protein
MS:MS_COMMENTS                   	is how much protein was in the entire sample (not only the small portion that was
MS:MS_COMMENTS                   	aliquoted for the ICMS). The polar split ratio is the fraction of the polar part
MS:MS_COMMENTS                   	of the sample that was aliquoted for the ICMS. This is calculated by dividing the
MS:MS_COMMENTS                   	weight of the polar aliquot for ICMS by the total weight of the polar portion of
MS:MS_COMMENTS                   	the sample. The protein normalized concentration is calculated using the
MS:MS_COMMENTS                   	equation, concentration * (reconstitution volume / 1000 / polar split ratio /
MS:MS_COMMENTS                   	protein).
MS:MS_TYPE                       	ESI
#MS_METABOLITE_DATA
MS_METABOLITE_DATA_START
Samples	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	19_B0_Lung_syngenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	27_B1-2_Lung_syngenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	28_C1-1_Lung_allogenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A
13-BPG-13C1	37668734.27680153	27460027.27401469	22413953.07459151	35658856.40988874	30912543.74829682	47862636.34751696	26171433.95761521	46151314.68204866	22694838.80596834	83044781.14671445	66241344.69960134	18625903.96397903	12705932.14900676	4769560.554230565	11605636.55952738
13-BPG-13C2	37815511.59181439	35788810.23182313	29454741.84185376	36712282.30715283	36619869.76811735	55304441.86680971	31113481.09633937	41676098.73245689	32418682.10144485	73430687.75510718	51581511.28597556	31158921.51000015	16294302.31258932	12637490.03961824	22514452.76540523
13-BPG-13C3	170535584.3048324	291119536.4591265	293129042.9442339	222406417.5558935	301907935.052491	318091025.9967655	139525335.1287898	109761156.5404749	315705853.5681126	220936660.5094738	155842534.5701844	359373784.7930712	124080098.7343702	191465110.8185745	295929961.5970459
1D-Myo-inositol 1-3-bisphosphate-13C0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1D-Myo-inositol 1-4-bisphosphate-13C0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1D-Myo-inositol 3-4-bisphosphate-13C0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-Aminomuconic acid semialdehyde-13C0	167806643.861871	143712155.5969525	179748025.9926161	182559340.8062873	170224902.0025556	208070306.6569208	110037506.1964566	128647221.3126444	183190738.1012957	213269538.5123335	189236729.99602	151756303.9897865	126888564.4443382	181269924.6211123	185662472.0102338
2-Aminomuconic acid semialdehyde-13C1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-Aminomuconic acid-13C0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-Hydroxyadipic acid-13C0	761173.9330206224	339831.5852799112	877023.9336657913	455344.1068210364	586863.2491898738	977164.8992983475	380097.4103605242	717438.6486373442	557592.930019134	714768.7101281267	519538.1579415264	380940.4237556004	857998.605564105	366045.0856315728	329775.4541618336
2-Hydroxyadipic acid-13C1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-Hydroxyadipic acid-13C2	522030.8980522925	481365.5315643618	209661.1657487156	851109.8374641291	403568.6869679256	1570907.295828792	1402195.491236402	1180869.025400769	1204205.317517769	636477.2414053279	406222.6308811174	581562.3461854903	891552.7872621953	1237216.566220341	1952899.814340468
2-Ketobutyric acid-13C0	2003163.476240641	1609791.858224455	5136313.612908982	2558631.74724372	3125142.703100488	4086802.604087042	2633568.975653133	1947126.562449078	2026822.742879318	2616140.555942523	2554322.378071698	2786251.698629883	2117437.886757719	2009885.04974773	1713468.870465183
2-Ketobutyric acid-13C1	510.7807813156134	12778.05006317409	86978.53240232222	0	27560.38837960259	0	0	0	0	0	6125.071740290499	0	3605.966507250401	0	0
2-Ketobutyric acid-13C2	71633.52910819165	89890.4093354026	371813.4020315884	82565.60699204262	127901.4465622789	129201.0717282288	29361.45219894688	36252.36619707514	61650.80216785866	84184.89393813904	78805.01576995493	70117.79366869332	54788.78351889137	73497.3649360618	47382.88439933483
2-Ketobutyric acid-13C3	84247.48452287882	58290.6632209945	215635.5598817522	38460.78647814934	104592.1752390002	68056.78700149576	24071.76330747041	36138.10639245484	64408.65835648959	55334.59178468963	84038.82677034885	57413.3965341779	45632.40089411281	48716.17527957376	50651.939137462
2-Ketobutyric acid-13C4	115395.9612535241	104390.9990305329	382805.098683915	102099.9256225342	147617.6801804734	149331.9669629957	31190.69150434358	35282.81414072186	96848.03662227865	122287.4573511511	135139.854375963	152632.2351044278	90818.7076739432	88903.16691201905	94460.77345392355
2-Propylglutaric acid Suberic acid-13C0	7411328.013374063	5340979.892728246	25351293.52082499	5463614.807112903	12956711.84905985	12782780.72722015	2844044.512378216	3191031.877805942	6066729.98083319	6327117.252308504	8413214.48542807	5398918.031143169	9825730.459828796	5463284.537928003	5048170.501232823
2-Propylglutaric acid Suberic acid-13C1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-Propylglutaric acid Suberic acid-13C2	0	0	0	0	0	0	3437.307932233558	0	0	0	0	0	0	0	0
2HG-13C0	17371367.46918016	11682177.00969858	35776238.72526857	17343395.81168507	18243339.53830181	30245539.71685778	13918747.10990396	18052515.15834732	14468860.10479207	18752109.01399048	19814653.88791264	16392257.66966826	19332037.14245581	15123689.85091765	12737927.45476318
2HG-13C1	1973942.636693279	1585592.181373565	0	2377746.796844775	1129043.636995859	4927342.193842589	3301267.207900402	3536135.646170047	2005197.48065275	2127226.505828293	1708910.048340646	1300349.200901782	1537770.221910525	609605.812622988	1706570.89968997
2HG-13C2	2223037.499517029	2123342.868483003	774446.9115571637	2667405.265788923	1689683.834080656	5762935.405404265	3499053.133750079	3212704.275382827	2914957.957015979	1893942.252044114	1684688.372487052	2029506.109859481	2054440.229607942	1728212.130180386	2823893.90114074
2HG-13C3	875164.7238700109	1524159.744041581	443490.879541858	1070986.522102454	862919.6380226024	3314425.555402614	2171260.367470867	1324734.990698117	2012862.343879938	579507.2457276244	315918.2320501936	1373117.523792565	973663.7096178088	1341041.272552708	2298278.932959145
2HG-13C4	103547.9973401805	306191.7177412221	128911.4120887054	122456.8218560192	168973.890357902	647663.5650142984	417480.5660129337	139876.9491073128	762878.137383075	64696.93126786879	58674.44272166486	313200.2439270712	146831.447923441	547677.5753198673	1026500.803440341
2HG-13C5	108740.5147941817	355781.6592913617	120523.5569254287	112123.5902770265	156738.3134727378	299536.9209479456	234354.0542519584	82348.55220313791	949221.7200705563	111681.140827161	78483.28113637601	419136.4671307796	117590.4561828444	440175.0089880779	1114590.343970407
3-Dehydro-L-gulonate-13C0	990581.4225431295	107926.3464070247	195599.0787232562	1015904.242721503	190283.9400108928	351201.5774907625	687435.4062273975	1036285.433147211	378808.8703223307	701327.1327180505	1246753.196631499	167464.9958214	332843.9595726778	155467.1400367007	265323.8722935203
3-Dehydro-L-gulonate-13C1	58453.49254294545	6525.295391080557	11013.2178339198	106365.7012963795	29747.68468040865	66928.52782748584	92996.4539362726	414013.6721650389	22273.29123237299	317607.6684959615	261796.57547646	4576.902347055287	34920.76003666268	0	3002.40923790674
3-Dehydro-L-gulonate-13C2	82735.14352583751	37301.77912772832	28112.82379419883	144317.7777475732	62226.1400290623	146387.905988279	204172.9051063651	477870.1846221298	58897.6836258706	385091.2116208015	192913.903479442	37282.35142490282	95421.73892547948	15319.529180288	36063.86733321016
3-Dehydro-L-gulonate-13C3	152345.9015418523	79070.37937594677	65179.94681455725	317252.7499725135	151212.0486907484	358306.3909120837	534122.4416579376	626282.318226362	371910.5558042515	557454.665287459	254841.7249998017	161293.9502777302	186827.3787911613	78858.85158853534	212334.2632981025
3-Dehydro-L-gulonate-13C4	58182.82124151436	59969.51970192625	50474.96829734874	91487.14376527419	67220.76397159803	178613.0297304241	269413.2989845077	281722.2729380247	127633.5386838565	204073.6182036255	74662.3648767753	71911.12305301821	88469.66903754928	54577.22348137787	93317.70135466228
3-Dehydro-L-gulonate-13C5	52141.81410115511	92779.52806658323	66092.46371232421	79687.74391052253	98696.0956969419	195473.7493297193	331463.5633030842	157579.7561014174	423829.6500908145	168038.7906960714	50142.20159204007	188071.1396287789	142786.3023866478	111765.6183619207	229843.3100494735
3-Dehydro-L-gulonate-13C6	233651.9997591889	899814.7474156611	423348.4018991527	542620.8687919987	667437.7150744281	1119367.914064802	1138491.925445755	447437.3903509514	3195514.423618857	382860.2146492106	173389.2517698958	2070972.001385079	783644.6811140265	1793608.6927455	2800132.868277083
3-Hydroxybutyric acid-13C0	6829791.587634967	4154357.686595567	8190133.285316025	6819031.916545969	16885620.1670472	25805927.91903366	5208999.734969174	11301486.12845674	2423581.212941919	29638300.18200958	13824326.43487974	5541548.960003453	5236295.792871051	2151862.451965575	2338220.742182713
3-Hydroxybutyric acid-13C1	653731.6585175756	41834.05748740042	69029.74629573459	31739.54254005295	867577.6154770748	817427.165664046	41491.08543005319	0	27617.42763664985	808675.4315191219	547827.1097559783	336392.567088016	57668.22572850648	94316.46505592894	112232.0237905554
3-Hydroxybutyric acid-13C2	1417176.58624208	941605.6890329447	886946.3750442252	627050.5821879373	4762020.045230808	5538636.483559504	863349.1234335601	1605757.873320346	330396.6909610271	4290264.659578642	2220974.499183349	1389938.723149592	646023.1612096655	784365.2082305567	914914.1639812365
3-Hydroxybutyric acid-13C3	16052.24310896555	23549.4024121978	108702.2537886868	0	16987.18405254426	0	1548.718849881938	0	30587.24944377773	0	6429.89378970384	63719.60102405545	12462.45282205004	114892.050859316	60244.99804308065
3-Hydroxybutyric acid-13C4	59733.52874645639	67556.98612109415	154993.6902041906	24429.96082868091	278131.6546425261	242012.7032984688	33819.5046123293	27966.35460565714	186041.175312009	108987.4248576932	62356.6499591921	348814.2478286125	63128.406601557	793106.8237863494	530179.3302499318
3-Hydroxymethylglutaric acid-13C0	5444721.655266625	3812531.134130794	8895122.69612919	6202253.350345942	5659494.781895075	9206369.189836089	5815664.943502493	6069387.79210288	5203089.643900983	6547062.352863343	6132832.038527749	5453062.387593888	7336519.731285721	6335330.899047653	6020345.077368248
3-Hydroxymethylglutaric acid-13C1	0	0	0	40087.95122358585	0	0	376187.4032770148	133930.8488413926	286809.1100557065	0	0	0	0	142063.5405483902	524680.7658536298
3-Hydroxymethylglutaric acid-13C2	522857.1830491186	487614.2773349129	196667.3227590483	863215.6144948807	401540.7899448337	1599750.951052921	1422344.29159648	1197031.593887883	1217430.190029223	641854.6898563114	404329.5251067721	588836.3967926131	901868.3220655557	1263267.66052934	1990670.898145383
3-Hydroxymethylglutaric acid-13C3	7428.547806080835	17152.10078690783	5706.425136991465	21119.82494826066	26044.46153647046	3349.023451244584	20037.89235700536	0	8326.329261186915	0	13466.31132323887	24172.8638476394	3907.850719913926	114707.7482296863	73077.4118190203
3-Hydroxymethylglutaric acid-13C4	31176.28689809487	107957.2429156111	28170.29536201419	49664.069840331	51556.06679042184	121939.7410051536	159415.5200840169	61386.2967556016	127789.0193586467	44599.79591434499	30608.0991294386	90937.7831474003	73667.13573409723	179868.5934806933	369391.1596715212
3-Hydroxymethylglutaric acid-13C5	0	9629.640310438506	6814.542964503513	845.5532341652288	62.28955668757715	1802.849936223123	3813.580991051217	505.8638405541562	2318.294610458413	369.2124732059803	1184.66442378307	5779.251312102022	847.9071661290537	15797.36542452268	17352.31778777318
3-Hydroxymethylglutaric acid-13C6	14805.16223038311	43527.5644112672	67314.46147354186	12207.75100819999	36369.65457913468	30938.21972794969	10955.19551132946	9431.731106479141	39512.82695690657	24019.00432499047	26354.29600668058	34191.51303405235	23955.57981413373	48565.41973532342	46966.12292992437
3-Sulfinoalanine-13C0	35691032.86703397	19786137.09845732	59048271.20956003	29197885.53920254	27770354.7256243	55431858.63540743	20493263.95451675	21489526.23206599	30581686.56040408	21695494.08542787	24637195.41465483	30581608.72814005	20182411.35313043	29519260.52418956	26137140.98583119
3-Sulfinoalanine-13C1	130338.0640878748	38730.90886973166	0	5060.884620796504	0	244763.4109413606	350957.9923461128	110626.1031152162	198858.9475272637	0	0	0	93086.43904671672	63787.33457093087	230696.3187670194
3-Sulfinoalanine-13C2	0	0	0	0	1163.996097468066	0	0	0	0	1775.70191986863	0	0	0	0	0
3-Sulfinoalanine-13C3	973.7878299442679	2017.719684390601	268.8312215495009	720.1783433040707	667.198721123255	1178.142783479678	851.9193408618225	1844.116793081707	1492.266565013334
3PG 2PG-13C0	25314585.61814122	10572593.94449872	4735729.632725069	30951694.25488028	6396380.113120428	17330227.09892678	30521420.89026805	51875893.37069304	14699438.27872404	21937829.82634029	38245793.52115372	8553465.92114474	11950330.00236189	3688312.040096642	4699861.062764412
3PG 2PG-13C1	2178382.084224066	2942342.063306273	652685.7976976922	4340081.668728936	1575451.624032759	6044578.657462187	12162053.36063155	17035899.01637092	4225251.242817583	7726335.036667707	6235654.716144572	1369695.596605676	1714598.795207138	457200.6625534412	1036067.764874911
3PG 2PG-13C2	1732887.953381293	3863522.351057366	1016978.261731695	4087149.423006552	1979692.99665217	6961501.331733677	14058428.53877068	14846432.31244873	6278710.822514499	6319159.599682349	4224854.734166724	3066480.498554025	2389098.98176963	2006331.581244417	2828532.941843336
3PG 2PG-13C3	12898197.47366946	37786094.68856257	28533646.51561478	31649428.54719237	27917551.38396296	47699084.05915128	65573654.74654077	42049979.08257429	69675058.29040582	22992224.00017009	17456556.27807707	49806977.19330911	25544242.86144259	46882105.85052252	47667582.51772099
5-L-Glutamyl-L-alanine-13C0	87569.39928327239	27879.58386303282	67737.76429055571	34965.39321488498	51174.34976248341	62000.75598663619	43734.39981548757	66121.664088434	28471.55866349386	76453.93845954238	99158.16238775937	37056.67480905301	37250.82301942269	13881.99669712818	23389.97062917834
5-L-Glutamyl-L-alanine-13C1	20248.02259083609	3374.883778775462	5950.425761343287	6722.685293039917	836.8690012326828	18347.73767584571	23640.10650570798	19959.00877961341	11522.69267607825	11928.26897100558	17996.46606011629	10372.92102759258	7798.093397514884	0	0
5-L-Glutamyl-L-alanine-13C2	14069.54955760999	4617.351120567802	17299.4019256664	9869.831050050292	9426.975529696809	14150.85959810842	27384.28567932641	21196.95269595018	15958.51424600773	8597.664387005148	22900.88213064791	7173.660962659307	14628.03085364502	2527.072321348894	7008.696240919056
5-L-Glutamyl-L-alanine-13C3	57941.32217926641	32579.47067206756	46683.41084860087	25092.48514448034	51270.54817719675	84536.9374368884	130612.0859738716	39183.19867970591	86835.40627223445	71306.45516068369	74274.6872497318	70453.14359204177	84600.27404031124	43871.97890602023	52858.0991161358
5-L-Glutamyl-L-alanine-13C4	12912.83788864473	13943.7282089843	8614.026528367169	6969.619784368649	7939.210010699776	28699.61011755564	26474.78272757773	8612.136410734647	14959.12293339807	26165.14304947387	4455.222156514506	11265.99268957052	27697.84887744535	11326.91161624251	13736.67915186613
5-L-Glutamyl-L-alanine-13C5	13864.49732117824	12544.44892878007	22357.04372189552	4601.059469368952	13268.54047631447	21382.25372059445	24100.64361717241	4433.992904202754	32500.98675690096	9302.709452072419	4116.239189409738	21461.12005654019	9198.783954647119	17078.77547931483	22427.19363373609
5-L-Glutamyl-L-alanine-13C6	4154.010980909374	9735.467465524633	7622.649633277854	3089.343737449299	7199.162208846232	8552.123647068604	10577.09398381823	1273.72156423361	23115.52274998029	3907.769539885752	2356.307604034241	12038.57061749312	9757.046479359442	23483.69941939209	18130.12598651081
5-L-Glutamyl-L-alanine-13C7	479.9271593862204	890.3919210044637	2801.002206506696	1922.557651920313	2372.554474981527	13283.50239906647	679.099484237918	4179.387851279006	4650.674613033875	12097.11721501775	4393.156848809317
5-L-Glutamyl-L-alanine-13C8	531.6128360649482	1217.412194465228	1255.963327310237	10313.48256529185	4144.229225165456	4713.729020383736	7810.366073293168
5-L-Glutamyl-taurine-13C0	271106.6668893358	157230.9828529581	50449.63744238952	225755.4473484763	84803.48937719867	377783.6708941941	1148912.298476787	1405903.430679165	326849.0742909223	224014.147818	179115.2385740743	109755.6957270588	122268.5796500362	122486.7647296363	119410.5908632802
5-L-Glutamyl-taurine-13C1	47693.11455667485	44799.17767236524	17376.15216050597	62606.96459534133	32348.70915329632	115140.9922488021	213969.3204554468	115759.7935819555	61075.90291670694	38545.53959497123	47107.26398213633	26480.97438586786	38930.31319464757	26471.66562320199	43741.45556594968
